ID,English,Tamil,Hindi,Context,Timestamp,Has_English,Has_Tamil,Has_Hindi,Languages_Count,Entry_Type,English_Length,Tamil_Length,Hindi_Length
1,High Priority,உயர் முன்னுரிமை,उच्च प्राथमिकता,compose.priority_high,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,13,15,15
2,Filter,வடிகட்டு,फिल्टर,email_list.filter,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,6,8,6
3,Underline,கீச் கோடு,अंडरलाइन,compose.underline,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,9,9,8
4,Date,தேதி,तारीख,email_view.date,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,4,4,5
5,Unmark as Important,முக்கியமில்லை என குறி,महत्वपूर्ण चिह्न हटाएं,email_list.unmark_important,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,19,21,22
8,Attachments,இணைப்புகள்,अताचमेंट,attachments.attachments,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,11,10,8
13,New Email,புதிய மெயில்,नए मेल,compose.new_email,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,9,12,6
14,Archive,ஆர்கைவ்,आर्काइव करें,navigation.archive,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,7,7,12
16,Important,முக்கியமான,महत्वपूर्ण,navigation.important,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,9,10,10
17,Delete,நீக்கு,डिलीट करें,common.delete,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,6,6,10
19,Font Size,எழுத்து அளவு,फॉन्ट साइज़,settings.font_size,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,9,12,11
22,BCC,பிஸிஸி,बीसीसी,compose.bcc,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,3,6,6
23,Size,அளவு,आकार,email_list.sort_size,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,4,4,4
25,Label,லேபல்,लेबल,email_list.label,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,5,5,4
30,Subject,விட\u0BAYம்,विषय,search.search_subject,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,7,11,4
32,Print,அச்சிடு,प्रिंट करें,email_view.print,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,5,7,11
38,Remove,நீக்கு,हटाएं,common.remove,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,6,6,5
39,Success,வெற்றி,सफलता,app.success,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,7,6,5
40,Sender,அனுப்புநர்,भेजने वाला,email_list.sort_sender,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,6,10,10
41,Maximum file size exceeded,அதிகபட்ச கோவை அளவு மீறப்பட்டது,अधिकतम फाइल आकार पार हो गया,attachments.max_size_exceeded,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,26,30,27
42,Inbox,இன்பாக்ஸ்,इनबॉक्स,navigation.inbox,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,5,9,7
44,Numbered List,எண் பட்டிம்,नंबर्ड लिस्ट,compose.numbered_list,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,13,11,12
46,Bullet List,புள்ளி பட்டிம்,बुलेट लिस्ट,compose.bullet_list,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,11,14,11
51,Hide Details,விவரங்களை மறை,विवरण छिपाएं,email_view.hide_details,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,12,13,12
53,Previous,முந்தைய,पिछला,email_view.previous,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,8,7,5
54,Reply,பதிலடி,जवाब दें,email_view.reply,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,5,6,8
55,Loading...,ஏற்றப்படுகிறது...,लोड हो रहा है...,app.loading,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,10,17,16
64,Show Unread,படிக்காததை காட்டு,अनपढ़े दिखाएं,email_list.show_unread,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,11,17,13
67,Search,தேடு,खोजें,email_list.search,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,6,4,5
68,Message,செய்தி,संदेश,compose.message,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,7,6,5
72,Folders,அவைகள்,फोल्डर,navigation.folders,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,7,6,6
79,Insert Link,இணைப்பை சேர்,लिंक डालें,compose.insert_link,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,11,12,10
87,Next,அடுத்த,अगला,email_view.next,2025-06-02 05:49:50,True,True,True,3,Complete_Triplet,4,6,4
